"","year","chinook","pod","heading","whales","sot.n","tot.time","rolling","cartwheel","breach","pecslap","dorsal.slap","tailslap","other.perc","spyhop","tide","tot.breach","tot.perc","pwm","bwm","swm","npods"
"71",2000,-0.49,"K","NS",14,NA,44,0,0,0,0,0,1,0,0,"ebb",0,1,0.00162337662337662,0,0,1
"72",2000,-0.49,"JKL","NS",42,NA,122,3,0,5,3,1,16,2,3,"slack",5,22,0.00429352068696331,0.000975800156128025,0.000585480093676815,3
"73",2001,2.82,"J","NS",6,NA,40,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"74",2001,2.82,"J","N",12,0.25,10,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"75",2001,2.82,"J","S",1,1,6,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"76",2001,2.82,"KL","S",16,1.25,31,0,0,2,0,0,8,0,0,"slack",2,8,0.0161290322580645,0.00403225806451613,0,2
"77",2001,2.82,"JKL","S",9,0.78,21,0,0,0,0,0,2,0,0,"flood",0,2,0.0105820105820106,0,0,3
"78",2001,2.82,"JK","N",4,2,19,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,2
"79",2001,2.82,"K","N",19,1.58,38,0,0,0,1,0,4,0,0,"flood",0,5,0.00692520775623269,0,0,1
"80",2001,2.82,"K","S",15,0.8,26,0,0,0,0,0,5,0,0,"flood",0,5,0.0128205128205128,0,0,1
"81",2001,2.82,"JK","N",9,0.22,21,0,0,0,0,0,9,0,0,"slack",0,9,0.0476190476190476,0,0,2
"82",2001,2.82,"K","S",15,0.33,15,0,1,0,0,0,2,0,0,"flood",1,2,0.00888888888888889,0.00444444444444444,0,1
"83",2001,2.82,"J","N",16,0.88,35,7,0,5,0,2,16,0,0,"ebb",5,18,0.0321428571428571,0.00892857142857143,0,1
"84",2001,2.82,"K","S",15,0.2,7,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"85",2001,2.82,NA,"NS",7,NA,32,0,0,0,1,0,2,0,0,"flood",0,3,0.0133928571428571,0,0,NA
"86",2001,2.82,"K","NS",6,NA,18,0,1,1,1,0,11,0,1,"flood",2,12,0.111111111111111,0.0185185185185185,0.00925925925925926,1
"87",2001,2.82,"K","S",14,0.43,11,0,0,0,0,0,0,0,0,"ebb",0,0,0,0,0,1
"88",2001,2.82,"K","N",13,1.15,24,0,1,0,2,0,4,0,0,"flood",1,6,0.0192307692307692,0.00320512820512821,0,1
"89",2001,2.82,"J","S",11,1.64,25,1,0,9,0,0,8,1,0,"ebb",9,9,0.0327272727272727,0.0327272727272727,0,1
"90",2001,2.82,"JK","N",33,1.97,128,22,22,43,37,0,153,0,46,"flood",65,190,0.0449810606060606,0.0153882575757576,0.0108901515151515,2
"91",2001,2.82,"K","S",NA,NA,19,0,0,0,0,0,0,0,0,"ebb",0,0,NA,NA,NA,1
"92",2001,2.82,"K","N",8,0.38,NA,0,0,0,0,0,0,0,0,"ebb",0,0,NA,NA,NA,1
"93",2001,2.82,"K","S",10,0.1,13,0,0,0,0,0,1,0,1,"ebb",0,1,0.00769230769230769,0,0.00769230769230769,1
"94",2001,2.82,"J","S",11,2.45,37,0,0,0,0,0,0,0,0,"slack",0,0,0,0,0,1
"95",2001,2.82,"JK","S",32,0.97,NA,2,5,17,6,0,45,1,6,"",22,52,NA,NA,NA,2
"96",2001,2.82,"K","S",13,0.23,10,0,0,0,0,0,0,0,0,"ebb",0,0,0,0,0,1
"97",2001,2.82,"K","N",17,0.35,101,0,0,0,0,0,2,0,0,"ebb",0,2,0.0011648223645894,0,0,1
"98",2001,2.82,"K","S",17,0.06,12,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"99",2001,2.82,"K","N",17,4.82,91,0,0,0,0,0,0,0,0,"ebb",0,0,0,0,0,1
"100",2001,2.82,"K","S",20,0.65,29,0,0,0,0,0,0,0,0,"ebb",0,0,0,0,0,1
"101",2001,2.82,"K","S",17,0.06,9,0,0,0,0,0,0,0,0,"slack",0,0,0,0,0,1
"102",2001,2.82,"JK","NS",30,NA,100,5,5,26,3,0,41,2,10,"flood",31,46,0.0153333333333333,0.0103333333333333,0.00333333333333333,2
"103",2001,2.82,"J","N",1,1,10,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"104",2001,2.82,"K","NS",9,2,38,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
